week,name,grosses,potential_gross,grosses_percentage,average_ticket,top_ticket,seat_sold,total_seat,per,seat_percentage
2018-06-24,HEAD OVER HEELS,"$68,044","$104,980",64.8%,$74.94,$258,908,963,1,94.3%
2018-06-24,"HELLO, DOLLY!","$958,525","$1,371,056",69.9%,$89.10,$297,10758,11568,8,93.0%
2018-06-24,KINKY BOOTS,"$746,132","$1,294,256",57.6%,$91.42,$249,8162,11392,8,71.6%
2018-06-24,MEAN GIRLS,"$1,578,401","$1,469,426",107.4%,$159.43,$400,9900,9800,8,101.0%
2018-06-24,MY FAIR LADY,"$1,302,718","$1,396,120",93.3%,$152.33,$323,8552,8552,8,100.0%
2018-06-24,ONCE ON THIS ISLAND,"$686,414","$792,176",86.6%,$119.48,$250,5745,5568,8,103.2%
2018-06-24,SCHOOL OF ROCK,"$1,048,777","$1,443,688",72.6%,$95.33,$248,11002,12184,8,90.3%
2018-06-24,SPONGEBOB SQUAREPANTS,"$1,007,361","$1,408,776",71.5%,$85.44,$248,11790,12880,8,91.5%
2018-06-24,SPRINGSTEEN ON BROADWAY,"$2,411,075","$2,384,275",101.1%,$508.67,$850,4740,4740,5,100.0%
2018-06-24,SUMMER,"$1,033,008","$1,455,668",71.0%,$106.30,$197,9718,11760,8,82.6%
2018-06-24,THE BAND'S VISIT,"$1,087,557","$1,024,568",106.1%,$130.84,$297,8312,8312,8,100.0%
2018-06-24,THE BOOK OF MORMON,"$1,171,857","$1,190,502",98.4%,$134.88,$478,8688,8376,8,103.7%
2018-06-24,THE BOYS IN THE BAND,"$1,037,975","$957,024",108.5%,$163.28,$397,6357,6192,8,102.7%
2018-06-24,THE ICEMAN COMETH,"$870,993","$1,194,930",72.9%,$129.32,$348,6735,7378,7,91.3%
2018-06-24,THE LION KING,"$2,308,012","$2,146,039",107.5%,$170.06,$225,13572,13568,8,100.0%
2018-06-24,THE PHANTOM OF THE OPERA,"$1,120,966","$1,356,418",82.6%,$91.02,$213,12316,12840,8,95.9%
2018-06-24,THE PLAY THAT GOES WRONG,"$413,780","$677,688",61.1%,$71.35,$197,5799,6832,8,84.9%
2018-06-24,THREE TALL WOMEN,"$1,275,918","$1,050,075",121.5%,$180.14,$423,7083,7083,9,100.0%
2018-06-24,WAITRESS,"$763,427","$1,019,480",74.9%,$98.34,$270,7763,8360,8,92.9%
2018-06-24,WICKED,"$1,982,377","$1,779,845",111.4%,$128.98,$240,15370,15408,8,99.8%
2018-06-17,A BRONX TALE THE MUSICAL,"$599,470","$921,066",65.1%,$84.50,$225,7094,8352,8,84.9%
2018-06-17,ALADDIN,"$1,513,133","$1,584,935",95.5%,$110.50,$216,13694,13816,8,99.1%
2018-06-17,ANASTASIA,"$859,772","$1,093,588",78.6%,$99.38,$273,8651,9144,8,94.6%
2018-06-17,ANGELS IN AMERICA,"$994,108","$1,362,036",73.0%,$112.98,$247,8799,9954,7,88.4%
2018-06-17,BEAUTIFUL,"$744,625","$1,106,908",67.3%,$102.48,$247,7266,8208,8,88.5%
2018-06-17,CAROUSEL,"$1,095,511","$1,622,728",67.5%,$113.11,$323,9685,11424,8,84.8%
2018-06-17,CHICAGO,"$646,555","$958,024",67.5%,$86.48,$187,7476,8640,8,86.5%
2018-06-17,COME FROM AWAY,"$1,204,298","$1,260,966",95.5%,$141.10,$347,8535,8368,8,102.0%
2018-06-17,DEAR EVAN HANSEN,"$1,726,485","$1,425,136",121.1%,$215.92,$448,7996,7872,8,101.6%
2018-06-17,ESCAPE TO MARGARITAVILLE,"$528,670","$1,752,864",30.2%,$77.26,$247,6843,13008,8,52.6%
2018-06-17,FROZEN,"$1,914,730","$1,805,240",106.1%,$142.81,$297,13408,13472,8,99.5%
2018-06-17,HAMILTON,"$3,131,174","$2,895,648",108.1%,$291.16,$849,10754,10568,8,101.8%
2018-06-17,"HARRY POTTER AND THE CURSED CHILD, PARTS ONE AND TWO","$2,277,446","$1,988,464",114.5%,$175.51,$297,12976,12976,8,100.0%
2018-06-17,"HELLO, DOLLY!","$943,080","$1,371,056",68.8%,$88.00,$297,10717,11568,8,92.6%
2018-06-17,KINKY BOOTS,"$665,621","$1,294,256",51.4%,$86.24,$249,7718,11392,8,67.7%
2018-06-17,MEAN GIRLS,"$1,572,996","$1,469,426",107.0%,$158.97,$400,9895,9800,8,101.0%
2018-06-17,MY FAIR LADY,"$1,272,957","$1,396,120",91.2%,$148.85,$323,8552,8552,8,100.0%
